"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/ActionIcons.jsx", "JavaScript JSX", 0, 42, 0, 0, 5, 47
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/BooksSoldForm.jsx", "JavaScript JSX", 0, 80, 0, 2, 8, 90
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/CopySnackbar.jsx", "JavaScript JSX", 0, 34, 0, 0, 5, 39
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/OrgSellers.jsx", "JavaScript JSX", 0, 8, 0, 0, 2, 10
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/SellerForm.jsx", "JavaScript JSX", 0, 416, 0, 18, 20, 454
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/SellerFormHeader.jsx", "JavaScript JSX", 0, 27, 0, 0, 2, 29
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/SellersTable.jsx", "JavaScript JSX", 0, 410, 0, 60, 27, 497
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/SellersTableHeader.jsx", "JavaScript JSX", 0, 15, 0, 8, 2, 25
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/UrlLinkTypography.jsx", "JavaScript JSX", 0, 14, 0, 0, 2, 16
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/UrlTableView.jsx", "JavaScript JSX", 0, 53, 0, 0, 3, 56
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/ViewUrl.jsx", "JavaScript JSX", 0, 75, 0, 4, 9, 88
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/sellerTableColumns.js", "JavaScript", 95, 0, 0, 3, 1, 99
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/PdfThumbnail/PdfThumbnail.jsx", "JavaScript JSX", 0, 42, 0, 0, 6, 48
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ProtectedRoute/ProtectedRoute.jsx", "JavaScript JSX", 0, 20, 0, 15, 8, 43
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/RegisterForm/RegisterForm.jsx", "JavaScript JSX", 0, 80, 0, 0, 6, 86
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/RegisterPage/RegisterPage.jsx", "JavaScript JSX", 0, 17, 0, 1, 6, 24
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SearchBar/SearchBar.jsx", "JavaScript JSX", 0, 70, 0, 0, 6, 76
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/CashUpdateModal.jsx", "JavaScript JSX", 0, 174, 0, 0, 12, 186
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/CustomerNameInfo.jsx", "JavaScript JSX", 0, 123, 0, 20, 10, 153
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/OrgDetailsSection.jsx", "JavaScript JSX", 0, 34, 0, 0, 3, 37
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/PaymentMenu.jsx", "JavaScript JSX", 0, 36, 0, 0, 4, 40
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/RefIdDisplay.jsx", "JavaScript JSX", 0, 8, 0, 0, 1, 9
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerLandingPage.jsx", "JavaScript JSX", 0, 63, 0, 4, 8, 75
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerLink.jsx", "JavaScript JSX", 0, 13, 0, 0, 4, 17
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerPage.jsx", "JavaScript JSX", 0, 105, 0, 2, 7, 114
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerPageTable.jsx", "JavaScript JSX", 0, 83, 0, 2, 4, 89
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/UrlDisplay.jsx", "JavaScript JSX", 0, 39, 0, 4, 5, 48
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/sellerUtils.js", "JavaScript", 6, 0, 0, 10, 5, 21
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/StateSelector/StateSelector.jsx", "JavaScript JSX", 0, 107, 0, 4, 7, 118
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SuccessAlert/SuccessAlert.jsx", "JavaScript JSX", 0, 66, 0, 2, 4, 72
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/SuccessAlert/useAlert.js", "JavaScript", 12, 0, 0, 3, 5, 20
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TableGroupDetails/TableGroupDetails.css", "CSS", 0, 0, 8, 0, 2, 10
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TableGroupDetails/TableGroupDetails.jsx", "JavaScript JSX", 0, 76, 0, 0, 2, 78
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TableTaskDetails/TableTaskDetails.css", "CSS", 0, 0, 3, 0, 0, 3
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TableTaskDetails/TableTaskDetails.jsx", "JavaScript JSX", 0, 154, 0, 0, 14, 168
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TableTemplate/TableTemplate.jsx", "JavaScript JSX", 0, 52, 0, 2, 2, 56
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskCard/TaskCard.css", "CSS", 0, 0, 4, 0, 1, 5
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskCard/TaskCard.jsx", "JavaScript JSX", 0, 253, 0, 48, 18, 319
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskCard/TaskDropdown.jsx", "JavaScript JSX", 0, 47, 0, 1, 7, 55
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskList.css", "CSS", 0, 0, 6, 0, 0, 6
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskList.jsx", "JavaScript JSX", 0, 101, 0, 7, 10, 118
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskListMerchant.jsx", "JavaScript JSX", 0, 136, 0, 17, 9, 162
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskListOrg.jsx", "JavaScript JSX", 0, 131, 0, 24, 8, 163
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskTabs/TaskTabs.jsx", "JavaScript JSX", 0, 143, 0, 36, 15, 194
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TemplateClass/TemplateClass.jsx", "JavaScript JSX", 0, 20, 0, 6, 7, 33
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/TemplateFunction/TemplateFunction.jsx", "JavaScript JSX", 0, 12, 0, 5, 4, 21
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ToggleButton/ToggleButton.jsx", "JavaScript JSX", 0, 30, 0, 1, 2, 33
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Typography/Typography.jsx", "JavaScript JSX", 0, 26, 0, 0, 4, 30
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/UserMenu/UserMenu.jsx", "JavaScript JSX", 0, 116, 0, 2, 9, 127
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/UserProfile/UserProfile.jsx", "JavaScript JSX", 0, 201, 0, 7, 14, 222
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTable/UserTable.css", "CSS", 0, 0, 15, 0, 5, 20
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTable/UserTable.jsx", "JavaScript JSX", 0, 91, 0, 1, 7, 99
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTableRow/UserTableRow.css", "CSS", 0, 0, 14, 0, 3, 17
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTableRow/UserTableRow.jsx", "JavaScript JSX", 0, 183, 0, 1, 6, 190
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/colors.js", "JavaScript", 30, 0, 0, 10, 13, 53
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/helpers.js", "JavaScript", 115, 0, 0, 38, 26, 179
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/modalStyles.js", "JavaScript", 11, 0, 0, 0, 3, 14
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/pageStyles.js", "JavaScript", 34, 0, 0, 0, 8, 42
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/sweetAlerts.js", "JavaScript", 95, 0, 0, 8, 5, 108
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/toasts.js", "JavaScript", 18, 0, 0, 1, 2, 21
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/useCaseType.js", "JavaScript", 9, 0, 0, 0, 4, 13
"/Users/jcolago/EDA/Tier3/testing-psg/src/hooks/reduxStore.js", "JavaScript", 55, 0, 0, 0, 19, 74
"/Users/jcolago/EDA/Tier3/testing-psg/src/hooks/useDispatch.js", "JavaScript", 4, 0, 0, 0, 1, 5
"/Users/jcolago/EDA/Tier3/testing-psg/src/hooks/useHistory.js", "JavaScript", 4, 0, 0, 0, 2, 6
"/Users/jcolago/EDA/Tier3/testing-psg/src/index.js", "JavaScript", 13, 0, 0, 0, 5, 18
"/Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/_root.reducer.js", "JavaScript", 58, 0, 0, 1, 4, 63
